node_id,type,name,source,label
DB09130,drug,Copper,DrugBank,Drug
DB09140,drug,Oxygen,DrugBank,Drug
DB00180,drug,Flunisolide,DrugBank,Drug
DB00240,drug,Alclometasone,DrugBank,Drug
DB00253,drug,Medrysone,DrugBank,Drug
DB00324,drug,Fluorometholone,DrugBank,Drug
DB00394,drug,Beclomethasone dipropionate,DrugBank,Drug
DB00443,drug,Betamethasone,DrugBank,Drug
DB00588,drug,Fluticasone propionate,DrugBank,Drug
DB00591,drug,Fluocinolone acetonide,DrugBank,Drug
DB00596,drug,Ulobetasol,DrugBank,Drug
DB00620,drug,Triamcinolone,DrugBank,Drug
DB00635,drug,Prednisone,DrugBank,Drug
DB00648,drug,Mitotane,DrugBank,Drug
DB00663,drug,Flumethasone,DrugBank,Drug
DB00687,drug,Fludrocortisone,DrugBank,Drug
DB00741,drug,Hydrocortisone,DrugBank,Drug
DB00846,drug,Flurandrenolide,DrugBank,Drug
DB00860,drug,Prednisolone,DrugBank,Drug
DB00896,drug,Rimexolone,DrugBank,Drug
DB01013,drug,Clobetasol propionate,DrugBank,Drug
DB01047,drug,Fluocinonide,DrugBank,Drug
DB01222,drug,Budesonide,DrugBank,Drug
DB01384,drug,Paramethasone,DrugBank,Drug
DB01410,drug,Ciclesonide,DrugBank,Drug
DB05688,drug,CRx-119,DrugBank,Drug
DB08906,drug,Fluticasone furoate,DrugBank,Drug
DB09124,drug,Medrogestone,DrugBank,Drug
DB13867,drug,Fluticasone,DrugBank,Drug
DB14538,drug,Hydrocortisone aceponate,DrugBank,Drug
DB14539,drug,Hydrocortisone acetate,DrugBank,Drug
DB14540,drug,Hydrocortisone butyrate,DrugBank,Drug
DB14541,drug,Hydrocortisone cypionate,DrugBank,Drug
DB14542,drug,Hydrocortisone phosphate,DrugBank,Drug
DB14543,drug,Hydrocortisone probutate,DrugBank,Drug
DB14544,drug,Hydrocortisone valerate,DrugBank,Drug
DB14631,drug,Prednisolone phosphate,DrugBank,Drug
DB14669,drug,Betamethasone phosphate,DrugBank,Drug
DB15566,drug,Prednisolone acetate,DrugBank,Drug
DB09479,drug,Rubidium Rb-82,DrugBank,Drug
DB00162,drug,Vitamin A,DrugBank,Drug
DB06755,drug,Beta carotene,DrugBank,Drug
DB00163,drug,Vitamin E,DrugBank,Drug
DB03917,drug,N-Ethylretinamide,DrugBank,Drug
DB05076,drug,Fenretinide,DrugBank,Drug
DB06985,drug,2-[({4-[2-(trifluoromethyl)phenyl]piperidin-1-yl}carbonyl)amino]benzoic acid,DrugBank,Drug
DB00255,drug,Diethylstilbestrol,DrugBank,Drug
DB00279,drug,Liothyronine,DrugBank,Drug
DB00451,drug,Levothyroxine,DrugBank,Drug
DB00586,drug,Diclofenac,DrugBank,Drug
DB00861,drug,Diflunisal,DrugBank,Drug
DB01093,drug,Dimethyl sulfoxide,DrugBank,Drug
DB01583,drug,Liotrix,DrugBank,Drug
DB01645,drug,Genistein,DrugBank,Drug
DB01751,drug,Tetraiodothyroacetic acid,DrugBank,Drug
DB01838,drug,"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone",DrugBank,Drug
DB02179,drug,O-Trifluoromethylphenyl Anthranilic Acid,DrugBank,Drug
DB02266,drug,Flufenamic acid,DrugBank,Drug
DB02417,drug,"2,4,6-Tribromophenol",DrugBank,Drug
DB02698,drug,"N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid",DrugBank,Drug
DB02709,drug,Resveratrol,DrugBank,Drug
DB03167,drug,Pentabromophenol,DrugBank,Drug
DB03239,drug,"3',5'-Dinitro-N-Acetyl-L-Thyronine",DrugBank,Drug
DB03346,drug,"3,3',5,5'-tetrachlorobiphenyl-4,4'-diol",DrugBank,Drug
DB03682,drug,"Dibenzofuran-4,6-Dicarboxylic Acid",DrugBank,Drug
DB04474,drug,8-anilinonaphthalene-1-sulfonic acid,DrugBank,Drug
DB04674,drug,"2-HYDROXY-3,5-DIIODOBENZOIC ACID",DrugBank,Drug
DB04756,drug,"2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid",DrugBank,Drug
DB05235,drug,NRP409,DrugBank,Drug
DB05352,drug,Fx-1006A,DrugBank,Drug
DB06885,drug,3-[({(1E)-[2-(trifluoromethyl)phenyl]methylidene}amino)oxy]propanoic acid,DrugBank,Drug
DB06907,drug,"2-(2,6-DICHLOROPHENYL)-1,3-BENZOXAZOLE-6-CARBOXYLIC ACID",DrugBank,Drug
DB06935,drug,"2',6'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID",DrugBank,Drug
DB07047,drug,"2',4'-DICHLORO-4-HYDROXY-1,1'-BIPHENYL-3-CARBOXYLIC ACID",DrugBank,Drug
DB07176,drug,1-Naphthylamine-5-sulfonic acid,DrugBank,Drug
